#{"t_start": 1749861829.2679536, "env_id": "None"}
r,l,t
-10347.687,401,28.843307
876.7389,401,29.058027
-8422.668,401,29.091731
-7198.2314,396,29.10876
-8699.519,100,29.176485
-2433.609,401,29.227127
-8359.424,93,29.227175
-10666.536,401,29.477924
-13858.213,401,29.66013
-6865.5566,401,29.777924
-8156.598,401,29.794797
-2117.7913,45,29.845206
-6998.707,75,29.926013
-3977.642,401,30.090021
-4923.681,61,30.123377
-9443.68,401,30.156755
-6199.5283,65,30.254699
-23023.674,401,30.385761
-12454.31,185,30.565636
3680.8486,401,31.214761
-2801.3965,401,31.2803
-2930.9854,67,31.475113
-2853.2012,401,31.558517
-13674.256,401,31.589861
-4343.8916,85,31.640218
-4378.8003,401,31.820544
-5154.613,401,32.015126
408.12738,401,32.112239
-8871.096,401,32.533005
-6439.9736,68,32.700617
-8563.628,401,33.081796
-1434.9496,401,33.190804
-3548.525,234,33.300695
-2477.8987,333,33.317795
-9386.798,109,33.335037
-7079.618,76,33.352015
-5959.6016,62,33.548126
-2765.881,401,33.597785
-5465.184,235,33.677649
195.3544,401,34.066633
-697.35876,401,34.147832
-5639.99,58,34.262242
-6275.5693,66,34.409721
3145.9163,401,34.733236
-1297.0728,401,35.203829
-3391.274,401,35.40102
4800.93,401,35.618784
-10868.746,401,35.786685
-13049.624,401,35.786747
-9499.722,110,35.870646
-4679.6987,46,35.971154
-5142.25,361,35.988145
-8699.999,100,36.055939
139.99884,401,36.223337
-12779.545,401,36.340236
-8356.74,401,36.357102
-11046.133,401,36.489298
-14945.028,401,36.677436
-8215.294,401,36.708343
-1949.8059,401,37.112911
-11484.18,206,37.633354
-9179.359,106,37.699771
-546.43,401,37.766487
-6279.7744,66,37.783507
-460.8021,401,37.83431
-10219.979,119,38.001075
853.9177,401,38.034472
-7719.9507,84,38.050915
-3977.0764,401,38.195341
-4850.286,401,38.375331
-10981.196,401,38.575187
-6019.194,401,39.275731
981.7306,401,39.653634
-8919.872,99,39.670625
-12123.462,401,39.767857
-7887.1714,243,39.868703
1398.9478,401,39.885738
-8442.859,401,39.935782
-3931.8162,401,40.138327
-2016.6531,401,40.188957
-2602.6316,401,40.272786
771.40845,401,40.75653
-2204.794,60,41.252535
-11135.803,401,41.333544
-11267.207,135,41.502096
-16894.871,210,41.518968
-18099.082,225,41.553632
-21150.03,318,41.570667
-2671.8755,401,42.016053
-12950.062,401,42.232618
-9899.586,401,42.394043
-21789.564,401,42.394104
-17903.193,401,42.596889
-897.54156,401,42.829119
-4663.6934,401,42.963692
-8880.737,99,42.980697
-4679.709,401,43.097868
-14207.889,169,43.544998
-8013.7993,401,43.742707
-3300.2126,257,43.925877
-18333.21,230,43.992842
-4477.905,401,44.275386
-5580.937,401,44.341979
-7311.202,401,44.408902
-3771.3293,401,44.426088
-10298.93,120,44.593015
-9886.425,401,44.643575
-25795.281,401,44.840645
-2944.1099,401,45.023669
-2064.821,401,45.223234
-7559.544,82,45.356185
-17050.375,224,46.119316
-5194.6245,401,46.303769
-6171.358,124,46.337086
-5719.998,59,46.337133
-8501.878,94,46.404468
-2792.179,401,46.421455
-4335.3477,121,46.438425
-28164.71,401,46.51959
